Word,Frequency
základné,338
študent,329
predmetu,319
ich,254
vie,221
absolvovaní,181
cvičenia,169
základy,165
funkcie,151
pozná,133
metódy,133
prednášky,129
dát,126
riešenie,124
dokáže,117
riešení,115
úloh,114
vlastnosti,111
úvod,107
jazyku,104
d,103
systému,98
analýza,94
funkcií,93
cvičení,92
systémov,92
vo,88
aplikovať,88
štúdiom,87
aplikácie,87
práce,86
príprava,85
prednášok,84
študentov,83
sietí,83
teórie,82
vedomosti,82
práca,81
podniku,81
pomocou,79
techniky,78
vybraných,78
riešenia,76
získa,75
tvorba,74
princípy,73
podľa,73
problémov,72
využitie,71
sú,71
praktické,71
vytváranie,69
jej,68
tvorby,66
zručností,65
c,65
úlohy,63
prostredí,63
základných,62
pravdepodobnosti,62
pojmy,61
prezentácie,61
programovania,60
štruktúry,59
zdokonaľovanie,58
jednotlivých,57
rozvoj,57
systémy,56
rôznych,56
duševného,56
modelovanie,56
osobnosti,55
jeho,55
reálnych,55
metóda,54
oblasti,54
využitím,54
projektu,53
nástroje,53
uniza,53
prostredníctvom,53
kompenzácia,53
zaťaženia,53
súvisiaceho,53
vysokoškolským,53
podmienok,53
všestranný,53
psychofyzický,53
konfigurácia,53
vhodné,52
budú,52
činnosti,50
študenti,49
model,49
and,49
úrovni,48
používa,47
náplňou,47
obsahovou,46
taktiky,46
princíp,46
praxi,45
operácie,45
rozumie,45
správa,45
medzi,45
základná,45
pohybová,45
technológie,45
systém,45
nácvik,45
operačného,45
športoch,44
modely,44
algoritmy,43
objektov,43
premenných,43
podnikateľského,43
štruktúra,43
analýzy,43
obsah,42
ovláda,42
premennej,42
prvky,42
návrhu,42
aplikácií,42
cudzom,42
sql,42
príkladov,41
grafov,41
spoločnosti,41
komunikácie,41
modelov,41
použitie,40
metód,40
typy,40
zhodné,40
zameraný,40
znalosti,40
vedieť,40
sociálna,40
tézy,39
príkazy,39
procesov,38
ktoré,38
schopný,38
triedy,38
riadenie,38
testy,38
skončení,37
rovníc,37
praxe,37
proces,37
rozlišuje,36
definícia,36
štúdia,36
rozdelenie,36
technických,35
i,35
laboratórne,35
rady,35
vzťah,35
ap,35
analyzovať,35
grammar,35
údajov,34
výpočet,34
kódu,34
súťaže,34
podnikových,34
možnosti,34
témy,33
derivácia,33
odborných,33
sr,32
poznatky,32
lineárnych,32
jednoduché,32
praktických,32
