code,count,grade_A,grade_B,grade_C,grade_D,grade_E,grade_FX,average_grade
6BM0027,248,21.37,13.31,29.84,18.55,12.10,4.84,2.0305
6BA0001,396,10.35,7.58,12.63,18.69,25.76,25.00,2.7098500000000003
6BA0009,314,7.64,15.92,20.70,23.89,19.75,12.10,2.4029499999999997
6BI0011,516,3.10,7.36,6.98,14.34,19.19,49.03,3.1764000000000006
6BH0003,384,15.89,24.22,33.59,17.19,8.85,0.26,1.89965
6BA0012,223,54.71,16.14,11.21,4.93,11.21,1.79,1.54455
6BI0032,93,32.26,29.03,17.20,12.90,8.60,0.00,1.68255
6BT0001,206,97.09,1.46,0.00,0.97,0.49,0.00,1.03175
6BA0005,278,6.12,15.47,29.14,19.42,13.67,16.19,2.41925
6BA0002,244,15.98,15.57,18.44,19.26,24.59,6.15,2.22735
6BI0012,295,4.07,10.51,17.63,15.93,20.00,31.86,2.8236000000000003
6BL0001,215,4.65,5.58,19.07,35.35,33.95,1.40,2.46985
6BI0034,297,5.05,11.11,20.88,22.90,36.03,4.04,2.44975
6BA0013,45,46.67,20.00,11.11,15.56,4.44,2.22,1.5999
6BI0033,132,46.97,25.76,17.42,6.06,2.27,1.52,1.4849
6BI0018,278,82.01,14.39,2.88,0.72,0.00,0.00,1.11155
6BT0002,212,92.92,2.36,0.47,1.89,0.47,1.89,1.1109499999999999
6BT0007,88,79.55,0.00,0.00,0.00,0.00,20.45,1.6135
6BI0046,126,6.35,11.11,11.90,20.63,12.70,37.30,2.8569
6BH0003,384,15.89,24.22,33.59,17.19,8.85,0.26,1.89965
6BA0001,396,10.35,7.58,12.63,18.69,25.76,25.00,2.7098500000000003
6BA0006,311,8.68,5.47,11.58,15.11,49.20,9.97,2.653
6BI0011,516,3.10,7.36,6.98,14.34,19.19,49.03,3.1764000000000006
6BI0001,341,27.57,19.94,17.01,15.25,19.06,1.17,1.9148500000000002
6BA0012,223,54.71,16.14,11.21,4.93,11.21,1.79,1.54455
6BI0032,93,32.26,29.03,17.20,12.90,8.60,0.00,1.68255
6BT0001,206,97.09,1.46,0.00,0.97,0.49,0.00,1.03175
6BI0051,97,35.05,25.77,9.28,17.53,4.12,8.25,1.8144999999999998
6BF0001,26,15.38,3.85,30.77,11.54,38.46,0.00,2.26925
6BA0007,64,34.38,20.31,10.94,9.38,17.19,7.81,1.92985
6BI0012,295,4.07,10.51,17.63,15.93,20.00,31.86,2.8236000000000003
6BA0015,52,1.92,7.69,15.38,17.31,42.31,15.38,2.7594
6BI0034,297,5.05,11.11,20.88,22.90,36.03,4.04,2.44975
6BA0013,45,46.67,20.00,11.11,15.56,4.44,2.22,1.5999
6BI0033,132,46.97,25.76,17.42,6.06,2.27,1.52,1.4849
6BI0018,278,82.01,14.39,2.88,0.72,0.00,0.00,1.11155
6BT0002,212,92.92,2.36,0.47,1.89,0.47,1.89,1.1109499999999999
6BT0007,88,79.55,0.00,0.00,0.00,0.00,20.45,1.6135
6BM0027,248,21.37,13.31,29.84,18.55,12.10,4.84,2.0305
6BA0001,396,10.35,7.58,12.63,18.69,25.76,25.00,2.7098500000000003
6BA0009,314,7.64,15.92,20.70,23.89,19.75,12.10,2.4029499999999997
6BI0011,516,3.10,7.36,6.98,14.34,19.19,49.03,3.1764000000000006
6BH0003,384,15.89,24.22,33.59,17.19,8.85,0.26,1.89965
6BA0012,223,54.71,16.14,11.21,4.93,11.21,1.79,1.54455
6BI0032,93,32.26,29.03,17.20,12.90,8.60,0.00,1.68255
6BT0001,206,97.09,1.46,0.00,0.97,0.49,0.00,1.03175
6BA0005,278,6.12,15.47,29.14,19.42,13.67,16.19,2.41925
6BA0002,244,15.98,15.57,18.44,19.26,24.59,6.15,2.22735
6BI0012,295,4.07,10.51,17.63,15.93,20.00,31.86,2.8236000000000003
6BL0001,215,4.65,5.58,19.07,35.35,33.95,1.40,2.46985
6BI0034,297,5.05,11.11,20.88,22.90,36.03,4.04,2.44975
6BA0013,45,46.67,20.00,11.11,15.56,4.44,2.22,1.5999
6BI0033,132,46.97,25.76,17.42,6.06,2.27,1.52,1.4849
6BI0018,278,82.01,14.39,2.88,0.72,0.00,0.00,1.11155
6BT0002,212,92.92,2.36,0.47,1.89,0.47,1.89,1.1109499999999999
6BT0007,88,79.55,0.00,0.00,0.00,0.00,20.45,1.6135
6BI0046,126,6.35,11.11,11.90,20.63,12.70,37.30,2.8569
6BH0003,384,15.89,24.22,33.59,17.19,8.85,0.26,1.89965
6BA0001,396,10.35,7.58,12.63,18.69,25.76,25.00,2.7098500000000003
6BA0009,314,7.64,15.92,20.70,23.89,19.75,12.10,2.4029499999999997
6BI0011,516,3.10,7.36,6.98,14.34,19.19,49.03,3.1764000000000006
6BA0012,223,54.71,16.14,11.21,4.93,11.21,1.79,1.54455
6BI0032,93,32.26,29.03,17.20,12.90,8.60,0.00,1.68255
6BT0001,206,97.09,1.46,0.00,0.97,0.49,0.00,1.03175
6BA0005,278,6.12,15.47,29.14,19.42,13.67,16.19,2.41925
6BI0012,295,4.07,10.51,17.63,15.93,20.00,31.86,2.8236000000000003
6BI0034,297,5.05,11.11,20.88,22.90,36.03,4.04,2.44975
6BI0046,126,6.35,11.11,11.90,20.63,12.70,37.30,2.8569
6BA0013,45,46.67,20.00,11.11,15.56,4.44,2.22,1.5999
6BI0033,132,46.97,25.76,17.42,6.06,2.27,1.52,1.4849
6BI0018,278,82.01,14.39,2.88,0.72,0.00,0.00,1.11155
6BT0002,212,92.92,2.36,0.47,1.89,0.47,1.89,1.1109499999999999
6BT0007,88,79.55,0.00,0.00,0.00,0.00,20.45,1.6135
6UM0001,88,15.91,12.50,30.68,3.41,32.95,4.55,2.21595
6UM0007,88,13.64,17.05,19.32,35.23,11.36,3.41,2.1365
6BA0006,311,8.68,5.47,11.58,15.11,49.20,9.97,2.653
6BU0001,80,2.50,20.00,27.50,17.50,32.50,0.00,2.2875
6BM0012,52,30.77,50.00,11.54,1.92,5.77,0.00,1.5096
6UM0004,41,17.07,14.63,21.95,24.39,12.20,9.76,2.1953
6BM0002,10,10.00,20.00,40.00,20.00,0.00,10.00,2.1
6BM0018,36,25.00,36.11,19.44,8.33,0.00,11.11,1.8331
6BA0014,57,28.07,54.39,15.79,0.00,1.75,0.00,1.4648500000000002
6BT0003,216,99.07,0.00,0.46,0.46,0.00,0.00,1.0113999999999999
6BT0008,15,100.00,0.00,0.00,0.00,0.00,0.00,1.0
6BJ0007,6,0.00,16.67,16.67,33.33,0.00,33.33,2.7499000000000002
6BJ0005,239,5.44,25.52,32.64,24.27,8.37,3.77,2.09865
6BM0014,91,10.99,13.19,20.88,20.88,17.58,16.48,2.43395
6BH0002,90,33.33,33.33,18.89,5.56,5.56,3.33,1.65005
6BM0006,78,5.13,11.54,19.23,16.67,28.21,19.23,2.64125
6BI0038,182,4.40,4.40,13.74,26.37,43.96,7.14,2.6484499999999995
6UM0002,28,3.57,10.71,17.86,17.86,28.57,21.43,2.71435
6BM0004,24,41.67,4.17,16.67,8.33,12.50,16.67,2.0627
6BI0047,0,0,0,0,0,0,0,0.0
6BM0025,54,33.33,42.59,18.52,1.85,3.70,0.00,1.4998000000000002
6BM0024,23,26.09,52.17,17.39,4.35,0.00,0.00,1.5
6BT0004,197,98.48,0.51,0.00,0.00,0.51,0.51,1.02815
6BJ0008,3,33.33,0.00,33.33,0.00,33.33,0.00,1.9997999999999998
6BJ0006,203,9.36,20.20,32.02,27.09,8.87,2.46,2.07875
6BI0057,23,60.87,8.70,13.04,4.35,4.35,8.70,1.58725
6BA0006,311,8.68,5.47,11.58,15.11,49.20,9.97,2.653
6BI0019,216,30.56,18.06,21.30,12.04,17.13,0.93,1.8546
6BI0039,184,22.83,12.50,17.39,11.96,25.00,10.33,2.2258
6BI0013,282,28.72,13.12,15.96,21.28,20.57,0.35,1.9663
6BI0003,180,8.33,17.22,36.11,24.44,5.56,8.33,2.1748
6BI0001,341,27.57,19.94,17.01,15.25,19.06,1.17,1.9148500000000002
6BI0026,130,12.31,13.85,20.00,25.38,23.08,5.38,2.27295
6UI0005,86,6.98,17.44,30.23,29.07,10.47,5.81,2.20925
6BJ0005,239,5.44,25.52,32.64,24.27,8.37,3.77,2.09865
6BM0003,33,69.70,18.18,0.00,3.03,0.00,9.09,1.40905
6BM0019,69,24.64,28.99,13.04,7.25,17.39,8.70,1.993
6BA0014,57,28.07,54.39,15.79,0.00,1.75,0.00,1.4648500000000002
6BI0007,183,90.71,6.56,2.73,0.00,0.00,0.00,1.0600999999999998
