code;count;grade_A;grade_B;grade_C;grade_D;grade_E;grade_FX;average_grade
6BI0006;1;0.00;0.00;0.00;0.00;0.00;100.00;6.0
6BI0021;34;0.00;0.00;5.88;0.00;8.82;85.29;5.7348
6BI0011;516;3.10;7.36;6.98;14.34;19.19;49.03;4.8625
6BI0043;5;0.00;0.00;0.00;20.00;80.00;0.00;4.8
6UI0001;83;0.00;1.20;8.43;22.89;50.60;16.87;4.7347
6BI0038;92;5.43;4.35;8.70;20.65;33.70;27.17;4.5435
6BA0010;96;2.08;5.21;13.54;35.42;16.67;27.08;4.4063
6BA0004;37;10.81;2.70;21.62;16.22;10.81;37.84;4.2704
6BA0006;316;8.54;5.38;11.39;14.87;48.42;11.39;4.2339
6BA0015;19;0.00;5.26;21.05;26.32;42.11;5.26;4.2106
6BJ0007;6;0.00;16.67;16.67;33.33;0.00;33.33;4.1665
6BL0001;151;2.65;5.30;19.21;33.11;26.49;13.25;4.152699999999999
6UM0002;21;4.76;14.29;14.29;23.81;28.57;14.29;4.0004
6BI0036;1;0.00;0.00;0.00;100.00;0.00;0.00;4.0
6UI0012;120;5.83;3.33;20.83;30.00;37.50;2.50;3.9748
6BI0034;239;5.86;12.55;18.83;17.57;33.89;11.30;3.9498
6BM0017;65;18.46;4.62;15.38;20.00;13.85;27.69;3.8923
6BF0001;9;11.11;0.00;22.22;22.22;44.44;0.00;3.8884999999999996
6UA0001;107;13.08;11.21;14.02;15.89;29.91;15.89;3.8601000000000005
6UI0009;19;10.53;15.79;10.53;21.05;26.32;15.79;3.8424
6UA0002;129;16.28;5.43;14.73;17.83;35.66;10.08;3.8142999999999994
6BE0002;15;6.67;26.67;0.00;13.33;53.33;0.00;3.7997999999999994
6BA0001;326;12.58;9.20;15.34;22.70;30.37;9.82;3.7857
6BI0012;46;8.70;8.70;21.74;23.91;30.43;6.52;3.7823
6BI0005;68;4.41;4.41;44.12;22.06;8.82;16.18;3.7500999999999998
6BA0009;320;7.50;15.62;20.00;23.44;18.75;14.69;3.7439
6BM0006;28;7.14;7.14;25.00;28.57;32.14;0.00;3.714
6UI0004;53;1.89;16.98;26.42;30.19;15.09;9.43;3.6790000000000003
6BI0047;36;25.00;19.44;5.56;5.56;2.78;41.67;3.6672000000000002
6BT0007;64;46.88;0.00;0.00;0.00;0.00;53.12;3.6559999999999997
6BU0001;81;2.47;19.75;27.16;17.28;32.10;1.23;3.6045
6BI0026;136;11.76;13.24;19.12;24.26;22.06;9.56;3.603
6BI0016;15;6.67;13.33;20.00;33.33;26.67;0.00;3.6
6BM0014;48;10.42;14.58;31.25;14.58;8.33;20.83;3.5827999999999998
6BA0008;13;23.08;7.69;15.38;7.69;38.46;7.69;3.5380000000000003
6BI0035;157;3.82;14.01;33.12;29.94;13.38;5.73;3.5224
6BM0028;79;6.33;18.99;29.11;21.52;11.39;12.66;3.5063
6BI0046;31;9.68;16.13;16.13;38.71;12.90;6.45;3.4837000000000002
6BI0027;69;21.74;14.49;11.59;15.94;18.84;17.39;3.4779
6BI0055;122;11.48;13.93;25.41;27.05;9.02;13.11;3.4753
6UI0010;307;7.49;11.73;32.57;27.69;15.31;5.21;3.4723
6BI0039;193;21.76;11.92;16.58;11.40;23.83;14.51;3.4715
6BM0020;69;20.29;18.84;20.29;5.80;7.25;27.54;3.4353000000000002
6BM0011;35;8.57;22.86;17.14;28.57;14.29;8.57;3.4286000000000003
6UM0004;43;16.28;13.95;20.93;23.26;11.63;13.95;3.4186
6BI0008;15;20.00;13.33;13.33;13.33;40.00;0.00;3.3997
6UM0001;88;15.91;12.50;30.68;3.41;32.95;4.55;3.3864
6BI0041;3;0.00;0.00;66.67;33.33;0.00;0.00;3.3333
6BI0040;77;16.88;7.79;18.18;40.26;16.88;0.00;3.3244
6UI0002;22;22.73;9.09;13.64;22.73;31.82;0.00;3.3185000000000002
6BI0042;13;30.77;15.38;7.69;7.69;15.38;23.08;3.3074
6UI0005;84;7.14;17.86;30.95;29.76;10.71;3.57;3.2972
6UM0007;89;13.48;16.85;19.10;34.83;11.24;4.49;3.2694
6BA0005;191;8.90;22.51;31.41;15.18;15.18;6.81;3.2563
6BJ0005;244;5.33;25.00;31.97;23.77;8.20;5.74;3.2176
6BI0028;69;8.70;20.29;34.78;15.94;18.84;1.45;3.2028
6BA0002;126;19.84;15.87;23.02;15.08;20.63;5.56;3.1746999999999996
6UA0003;183;10.93;21.31;30.05;21.86;10.93;4.92;3.1531000000000002
6UM0003;21;4.76;14.29;52.38;23.81;0.00;4.76;3.1428000000000003
6BJ0006;151;11.92;21.85;27.15;22.52;12.58;3.97;3.1387
6BI0022;15;13.33;26.67;20.00;13.33;26.67;0.00;3.1334000000000004
6BM0019;74;22.97;27.03;12.16;6.76;16.22;14.86;3.1081
6BM0002;10;10.00;20.00;40.00;20.00;0.00;10.00;3.1
6BM0027;252;21.03;13.10;29.37;18.25;11.90;6.35;3.0594
6UM0005;17;11.76;23.53;29.41;17.65;17.65;0.00;3.0589999999999997
6BI0003;165;9.09;18.79;39.39;26.67;6.06;0.00;3.0181999999999998
6BZ0001;1;0.00;0.00;100.00;0.00;0.00;0.00;3.0
6BI0050;8;25.00;37.50;0.00;12.50;0.00;25.00;3.0
6BJ0008;3;33.33;0.00;33.33;0.00;33.33;0.00;2.9997
6BM0004;24;41.67;4.17;16.67;8.33;12.50;16.67;2.9586
6BI0053;40;17.50;22.50;25.00;22.50;7.50;5.00;2.95
6BI0013;281;28.47;13.17;16.01;21.00;20.64;0.71;2.943
6UM0008;166;19.88;15.06;31.33;24.10;4.82;4.82;2.9341000000000004
6BH0003;395;15.44;23.54;32.66;16.71;8.61;3.04;2.8863
6BE0001;69;27.54;14.49;18.84;20.29;18.84;0.00;2.884
6BI0001;344;27.33;19.77;16.86;15.12;18.31;2.62;2.852
6BI0048;30;30.00;16.67;13.33;26.67;6.67;6.67;2.8338
6BA0011;10;10.00;60.00;10.00;0.00;0.00;20.00;2.8
6BI0020;14;21.43;21.43;28.57;14.29;14.29;0.00;2.7861000000000002
6BE0004;85;28.24;17.65;23.53;9.41;21.18;0.00;2.7767
6BM0007;139;15.83;37.41;28.06;6.47;2.16;10.07;2.7193
6BI0019;217;30.41;17.97;21.20;11.98;17.05;1.38;2.714
6BM0021;79;11.39;40.51;24.05;20.25;2.53;1.27;2.6582999999999997
6BM0018;35;25.71;34.29;20.00;8.57;0.00;11.43;2.5715
6BI0057;26;53.85;7.69;11.54;3.85;3.85;19.23;2.5388
6BM0010;59;28.81;30.51;20.34;8.47;5.08;6.78;2.5081
6BJ0001;271;21.77;33.58;27.31;15.13;1.48;0.74;2.4322
6BI0032;94;31.91;28.72;17.02;12.77;8.51;1.06;2.404
6BA0012;236;51.69;15.25;10.59;4.66;10.59;7.20;2.2875
6BA0007;48;41.67;25.00;12.50;10.42;6.25;4.17;2.2712
