Word;Frequency;Relevant
základné;338;n
študent;329;n
predmetu;319;n
ich;254;n
vie;221;n
absolvovaní;181;n
cvičenia;169;n
základy;165;n
funkcie;151;n
pozná;133;n
metódy;133;n
prednášky;129;n
dát;126;y
riešenie;124;n
dokáže;117;n
riešení;115;n
úloh;114;n
vlastnosti;111;n
úvod;107;n
jazyku;104;n
d;103;n
systému;98;n
analýza;94;y
funkcií;93;n
cvičení;92;n
systémov;92;n
vo;88;n
aplikovať;88;n
štúdiom;87;n
aplikácie;87;n
práce;86;n
príprava;85;n
prednášok;84;n
študentov;83;n
sietí;83;y
teórie;82;n
vedomosti;82;n
práca;81;n
podniku;81;n
pomocou;79;n
techniky;78;n
vybraných;78;n
riešenia;76;n
získa;75;n
tvorba;74;n
princípy;73;n
podľa;73;n
problémov;72;n
využitie;71;n
sú;71;n
praktické;71;n
vytváranie;69;n
jej;68;n
tvorby;66;n
zručností;65;n
c;65;n
úlohy;63;n
prostredí;63;n
základných;62;n
pravdepodobnosti;62;y
pojmy;61;n
prezentácie;61;n
programovania;60;y
štruktúry;59;n
zdokonaľovanie;58;n
jednotlivých;57;n
rozvoj;57;n
systémy;56;y
rôznych;56;n
duševného;56;n
modelovanie;56;y
osobnosti;55;n
jeho;55;n
reálnych;55;n
metóda;54;n
oblasti;54;n
využitím;54;n
projektu;53;n
nástroje;53;n
uniza;53;n
prostredníctvom;53;n
kompenzácia;53;n
zaťaženia;53;n
súvisiaceho;53;n
vysokoškolským;53;n
podmienok;53;n
všestranný;53;n
psychofyzický;53;n
konfigurácia;53;n
vhodné;52;n
budú;52;n
činnosti;50;n
študenti;49;n
model;49;n
and;49;n
úrovni;48;n
používa;47;n
náplňou;47;n
obsahovou;46;n
taktiky;46;n
princíp;46;n
praxi;45;n
operácie;45;n
rozumie;45;n
správa;45;n
medzi;45;n
základná;45;n
pohybová;45;n
technológie;45;n
systém;45;n
nácvik;45;n
operačného;45;y
športoch;44;y
modely;44;n
algoritmy;43;y
objektov;43;n
premenných;43;n
podnikateľského;43;n
štruktúra;43;n
analýzy;43;n
obsah;42;n
ovláda;42;n
premennej;42;n
prvky;42;n
návrhu;42;n
aplikácií;42;y
cudzom;42;n
sql;42;y
príkladov;41;n
grafov;41;y
spoločnosti;41;n
komunikácie;41;y
modelov;41;n
použitie;40;n
metód;40;n
typy;40;n
zhodné;40;n
zameraný;40;n
znalosti;40;n
vedieť;40;n
sociálna;40;n
tézy;39;n
príkazy;39;n
procesov;38;n
ktoré;38;n
schopný;38;n
triedy;38;n
riadenie;38;n
testy;38;n
skončení;37;n
rovníc;37;y
praxe;37;n
proces;37;n
rozlišuje;36;n
definícia;36;n
štúdia;36;n
rozdelenie;36;n
technických;35;n
i;35;n
laboratórne;35;n
rady;35;n
vzťah;35;n
ap;35;n
analyzovať;35;y
grammar;35;n
údajov;34;n
výpočet;34;n
kódu;34;y
súťaže;34;n
podnikových;34;y
možnosti;34;n
témy;33;n
derivácia;33;y
odborných;33;n
sr;32;n
poznatky;32;n
lineárnych;32;y
jednoduché;32;n
praktických;32;n
sieťach;32;y
parametrov;32;n
of;32;n
manažmentu;32;y
čísla;31;n
pokročilé;31;n
číselné;31;n
spôsobu;31;n
telovýchovných;31;y
napr;31;n
princípom;31;n
tabuľky;31;y
linux;31;y
zásobu;31;n
testovanie;30;y
vybrané;30;n
informácií;30;n
tvorbu;30;n
výber;30;n
informačné;30;y
rozhrania;30;y
komunikácia;30;y
až;30;n
slovnú;30;n
polia;29;y
lineárna;29;y
absolvovaním;29;n
rovnice;29;y
prostredia;29;n
návrh;29;y
význam;29;n
jazyka;29;n
lineárne;28;y
algoritmov;28;y
správne;28;n
predmete;28;n
tried;28;n
aktivít;28;n
siete;28;y
vytvoriť;28;n
používané;28;n
prístupu;28;n
navrhnúť;28;y
vytvárať;28;n
tvorbe;28;n
systéme;27;y
výkonnosti;27;y
množiny;27;n
postupnosti;27;n
prácu;27;n
príklady;27;n
základe;27;n
pravdepodobnosť;27;y
funkcia;27;y
podnikania;27;y
zariadení;27;n
sieťové;27;y
služby;27;n
vedomostí;27;n
realizácia;27;n
požiadaviek;27;n
spôsoby;27;n
príkaz;26;n
manažment;26;y
času;26;n
pravidlá;26;n
pohľadu;26;n
lan;26;y
matematická;26;y
definovanie;26;n
problémy;26;n
študijného;26;n
odboru;26;n
odborné;26;n
the;26;n
ict;26;y
informatika;25;y
predmet;25;n
analýzu;25;y
aktuálne;25;n
vybranom;25;n
špeciálna;25;n
náhodnej;25;y
získané;25;n
teória;25;n
internet;25;y
poznať;25;n
zariadenia;25;y
protokoly;25;y
navrhne;25;n
programovanie;25;y
odbornú;25;n
matice;24;y
matematických;24;y
využiť;24;n
matematické;24;y
premenné;24;y
objekty;24;y
zručnosti;24;n
práva;24;n
športových;24;y
výpočtovej;24;y
protokolov;24;y
os;24;y
používať;24;n
schopnosť;24;n
trhu;23;n
komplexné;23;y
špeciálne;23;n
trendy;23;n
vedenie;23;n
voľného;23;n
všeobecnej;23;n
športové;23;y
ip;23;y
adries;23;y
bezpečnosti;23;y
derivácie;23;y
spracovanie;23;y
procesu;23;n
ms;23;y
komponentov;23;y
rôzne;22;n
základný;22;n
správy;22;y
prístup;22;n
cielené;22;n
zdravému;22;y
života;22;n
trávenia;22;n
hry;22;y
športovom;22;y
odvetví;22;n
zvyšovanie;22;n
telesnej;22;y
zdatnosti;22;n
pohybovej;22;y
všeobecná;22;n
reprezentáciu;22;n
národnej;22;n
medzinárodnej;22;n
test;22;n
