code,podmienky,vysledky,osnova
6BM0027,"Priebežné hodnotenie:Aktívna práca študentov na cvičeniach. Počas semestra budú študenti písať dve semestrálne písomky, body bude možné získať i za aktivitu na cvičeniach. Body v priebežnom hodnotení  môže študent získať takto:
maximálne 25 bodov za každú z dvoch semestrálnych písomiek; ďalšie body za aktivity na cvičeniach a bonusy za účasť na prieskumoch. Pre prihlásenie sa na skúšku musí študent dosiahnuť najmenej 30.0 bodov.
Záverečné hodnotenie:Hodnotenie sa skladá z:
a) písomná skúška - podmienkou je napísať na minimálne 31 bodov (maximálny počet je 50 bodov), 
b) body získané na cvičeniach počas semestra.

Hodnotenie:
A: 93-100 % bodov
B: 85-92 %
C: 77-84 %
D: 69-76 %
E: 61-68 %




Formy a metódy hodnoteniaVáhaOblasť vedomostí, zručností, kompetentností2 priebežné semestrálne písomky40 %Aktívne riešenie úloh na cvičeniach 10 %Písomná skúška50 %
Pre prihlásenie na skúšku musí študent dosiahnuť 30 bodov. ","Študent po skončení predmetu: 
• Pozná a používa kľúčovú ekonomickú terminológiu.
• Identifikuje a prezentuje základné vzťahy, súvislosti a princípy vzájomného pôsobenia ekonomických javov, procesov a subjektov v ekonomickom systéme.
• Pozná  ekonomické súvislosti profesie informatika a počítačového inžiniera.
• Uplatňuje schopnosti tímovej spolupráce a argumentácie pri analýze a riešení jednoduchých ekonomických úloh súvisiacich s obsahovou náplňou predmetu.
","Prednášky: 
• Základy fungovania ekonomiky. 
• Ekonomické systémy.
• Trh a trhový mechanizmus. 
• Výrobné faktory a trh VF (kapitál, ľudský kapitál, práca, pôda). 
• Účastníci trhu – domácnosti, podniky. 
• Účastníci trhu – štát, štátny rozpočet a dane, štátna regulácia.
• Makroekonomické agregáty. 
• Peniaze, peňažný trh a mena. 
• Hospodárska politika a transformácia ekonomiky SR. 
Cvičenia: 
• Metodológia ekonomickej teórie. Národné hospodárstvo. Krivka produkčných možností. 
• Medzinárodná ekonomická integrácia a členstvo SR v medzinárodných integračných zoskupeniach. 
• Absencia trhových transakcií, virtuálny trh a e-shopy. 
• Analýza štatistických databáz a údajov o nezamestnanosti.
• Medzinárodný obchod. globalizácia, postavenie a úloha IKT v globalizačných procesoch.  
• Informačná spoločnosť, e-government. verejný informačný portál. 
• Analýza štatistických databáz a údajov o makroekonomickej výkonnosti. 
• Banková sústava, elektronické peniaze, elektronická mena, elektronické platby. 
• Cenové indexy. Inflácia.  
• Aktuálna  ekonomická situácia v SR a vo svete.
• Priebežné písomné a ústne precvičovanie získaných poznatkov.
"
6BA0001,"Priebežné hodnotenie:V priebežnom hodnotení je možné získať:
- 20 bodov za aktívne riešenie úloh na cvičeniach
- 40 bodov z testov počas semestra (možnosť 1 opravného testu)

Záverečné hodnotenie:Skúška má dve časti:
- praktická časť: písomný test zameraný na riešenie úloh, 20 bodov.
- teoretická časť: otázky zamerané na aplikáciu teoretických poznatkov, 20 bodov.
Pre úspešné absolvovanie skúšky je potrebné z každej jej časti získať minimálne 10 bodov.


Výsledné hodnotenie predmetu:
93 – 100 bodov ....  A
85 – 92 bodov   ....  B
77 – 84 bodov   ....  C
69 – 76 bodov   ....  D
61 – 68 bodov   ....  E
menej než 61 bodov ... Fx

Formy a metódy hodnoteniaVáhaOblasť vedomostí, zručností, kompetentnostíAktívna práca na cvičeniach20 %Odborné vedomostiPriebežné testy40 %Odborné vedomosti, overenie znalostí z osnovy predmetuSkúška40 %Overenie vedomostí a zručností z oblasti algebry
Pre prihlásenie na skúšku musí študent dosiahnuť 30 bodov. ","Štúdiom predmetu študent získa základné poznatky z teórie lineárnej algebry a teórie abstraktných algebraických štruktúr, ktoré mu umožňujú ich použitie pri riešení technických úloh v inžinierskej praxi ale i pochopenie pokročilých metód modernej algebry.
Po absolvovaní predmetu študent:
- nájde riešenie systému lineárnych rovníc,
- používa komplexné čísla pri riešení úloh,
- nájde bázu vektorového priestoru,
- používa pokročilé algebraické metódy pri riešení technických úloh,
- rozlišuje jednotlivé typy matíc a ich využitie pri riešení úloh, 
- overí vlastnosti algebrickej štruktúry.","Prednášky :
•       Číselné množiny: základné číselné množiny, komplexné čísla a operácie s nimi, modulárna aritmetika.
•	Základné algebraické štruktúry: binárne operácie a ich vlastnosti, grupy, okruhy, polia.
•	Polynómy: základné pojmy, operácie s polynómami, korene polynómu, Hornerova schéma, reducibilné a ireducibilné polynómy, rozklad racionálnej funkcie na parciálne zlomky.
•	Matice: zavedenie pojmu, špeciálne typy matíc, operácie s maticami, hodnosť matice, singulárna, regulárna matica, inverzná matica, využitie matíc pri riešení úloh. 
•	Determinanty: definícia determinantu matice, výpočet determinantu matice, Cramerovo pravidlo, využitie determinantu pri riešení úloh.
•	Systémy lineárnych rovníc: homogénne a nehomogénne systémy lineárnych rovníc, Gaussova eliminačná metóda, Gaussova-Jordanova eliminačná metóda.
•	Vektorové priestory: zavedenie pojmu, lineárna kombinácia vektorov, lineárna závislosť a nezávislosť vektorov,  podpriestor vektorového priestoru, báza a dimenzia 
        vektorového priestoru, súradnice vektora vzhľadom na rôzne bázy.
•	Lineárne zobrazenie: zavedenie pojmu, matica lineárneho zobrazenia, vlastné vektory a vlastné čísla matice, využitie lineárnych zobrazení pri riešení úloh.
Cvičenia:
Tézy cvičení sú zhodné s obsahovou náplňou prednášok. Obsah cvičení je riešenie úloh.

"
6BA0009,"Priebežné hodnotenie:72 bodov za semester, ktoré sa dajú získať každý týždeň semestra, teda 12 krát 6 bodov za riešenie úloh podľa otázok k prednáške, úloh z cvičení a za riešenie problému na počítači.Záverečné hodnotenie:Súčasťou skúšky je test z teórie a príklady. 
Súčasťou skúšky je test z teórie, príklady a  riešenie problému na počítači. 
Na skúške je možné získať 28 bodov, z ktorých treba aspoň 16 na uznanie skúšky.

Hodnotiaca matica dosiahnutia výsledkov vzdelávania:
Formy a metódy hodnotenia	Váha
Priebežné testy	počas semestra 72 %
Skúška	28 %

Záverečné hodnotenie:
A  Výborne  93 – 100 
B  Veľmi dobre 85 – 92 
C  Dobre  77 – 84 
D  Uspokojivo 69 – 76 
E  Dostatočne 61 – 68 
FX Nedostatočne  menej ako 61 

Formy a metódy hodnoteniaVáhaOblasť vedomostí, zručností, kompetentnostíTesty z teoretických vedomostí na cvičeniach24%teória počas semestraTesty z riešenia úloh na cvičeniach24%riešenie problémových úloh počas semestraRiešenie laboratórnych prác počas semestra24%prepojenie matematiky a informatikySkúška teória20%systematický test na prehľad vedomostí z teórieSkúška úlohy8%riešenie problémov na skúške
Pre prihlásenie na skúšku musí študent dosiahnuť 36 bodov. ","Po absolvovaní predmetu sa študent:
-orientuje sa v matematických postupoch a pojmoch, 
-má základný prehľad o poznatkoch z matematiky využívaných v informatike, 
-rozumie  prepojeniu matematiky a informatiky,
-dokáže využiť matematické koncepty pri riešení informatických problémov. "," 1.  Kombinatorické počítanie.
 2.  Úvod do teórie čísel, modulárna aritmetika. Niekoľko algoritmov z teórie čísel.
 3.  Stavový automat.
 4.  Úvod do logiky. 
 5.  Čísla a číselné množiny.
 6.  Množiny a relácie.
 7.  Relácie a funkcie  
 8.  Postupnosti.
 9.  Konečné súčty a súčiny.  
 10. Reálne funkcie   
 11. Reálne funkcie   
 12. Asymptotické odhady. Matematické dôkazy.  
"
6BI0011,"Priebežné hodnotenie:Hodnotenie počas semestra sa na známke podieľa 50%. Skladá sa z:
• samostatná práca študenta 15 bodov,
• vypracovanie 3 testov 15 bodov
• semestrálna práca 20 bodov
Pre prihlásenie sa na skúšku musí študent dosiahnuť najmenej 25 bodov, z čoho min. 5 bodov musí byť zo semestrálnej práce.
Záverečné hodnotenie:V rámci záverečného hodnotenia absolvuje študent praktickú skúšku na počítači. Hodnotenie skúškou sa na známke podieľa 50%.

Výsledné hodnotenie predmetu:
93 – 100 bodov ....  A
85 – 92 bodov   ....  B
77 – 84 bodov   ....  C
69 – 76 bodov   ....  D
61 – 68 bodov   ....  E
menej než 61 bodov ... Fx
Formy a metódy hodnoteniaVáhaOblasť vedomostí, zručností, kompetentnostíSamostatná práca študenta15 %Odborné vedomostiVypracovanie testov15 %Odborné vedomosti, Práca s informáciami, samostatnosťSemestrálna práca20 %Odborné vedomosti, práca s informáciami, implementácia algoritmovSkúška50 %Odborné vedomosti, analýza, syntéza
Pre prihlásenie na skúšku musí študent dosiahnuť 25 bodov. ","Po absolvovaní predmetu študent:
- tvorí algoritmy pomocou všetkých základných konštrukčných prvkov,
- správne aplikuje princípy objektového programovania,
- vytvára komplexné objektovo orientované programy,
- integruje navrhnuté algoritmy do navrhnutej objektovej štruktúry.
","Prednášky:
• Princípy OP - objekt, trieda, inštancia, správa, zapúzdrenie
• Trieda - atribúty, konštruktory, metódy, päť pohľadov na triedu, enum
• Životný cyklus objektu – vznik a zánik objektu 
• Algoritmizácia - postupnosť príkazov, vetvenie, cyklus, rekurzia, priraďovací príkaz, lokálne premenné
• Spolupráca objektov -  asociácia, kompozícia, príkaz na posielanie správy objektu
• Kontajnery - polia a zoznamy
• Nemeniteľné objekty
• Komentáre a dokumentácia
• Základné vstupno-výstupné operácie
• Testovanie a ladenie

Cvičenia:
Tézy cvičení sú zhodné s obsahovou náplňou prednášok. Obsah cvičení je zameraný na praktické riešenie príkladov.
"
6BH0003,"Priebežné hodnotenie:Priebežne je hodnotená práca na cvičeniach, ktorá je posudzovaná na základe vypracovania tímového semestrálneho projektu. Maximálny počet bodov za vypracovanie semestrálneho projektu je 60 (60 % hodnotenia)Záverečné hodnotenie:Podmienkou pre absolvovanie predmetu a pridelenie kreditov je úspešné absolvovanie ústnej skúšky z predmetu, ktorá je pozostáva z obhajoby semestrálneho projektu a hodnotenia individuálneho prínosu študenta v tíme. Študent sa môže prihlásiť na záverečnú skúšku iba ak sa podieľal na vypracovaní semestrálneho projektu. Za obhajobu semestrálneho projektu je možné získať maximálne 40 bodov (40 % hodnotenia)

Záverečné hodnotenie sa vykonáva na základe súčtu bodov, získaných za priebežné hodnotenie a za skúšku: 
A: aspoň 93 % bodov 
B: < 85, 93) % bodov 
C: < 77, 85) % bodov 
D: < 69, 77) % bodov 
E: < 61, 69) % bodov 
Fx: menej ako 61 % bodov 
Formy a metódy hodnoteniaVáhaOblasť vedomostí, zručností, kompetentnostíPriebežné hodnotenie 60 %Odborné vedomosti, prezentačné zručnostiZáverečné hodnotenie40 %Overenie získaných vedomostí z náplne predmetu a prezentačných zručností
Pre prihlásenie na skúšku musí študent dosiahnuť - bodov. ","Predmet uvádza študentov do spôsobu efektívnej systematickej práce v rámci štúdia informatických študijných programov a do náležitostí takto zameraného vysokoškolského štúdia.  Štúdiom predmetu získa študent znalosti a zručnosti spojené s procesmi, technikami a nástrojmi efektívnej tímovej spolupráce, efektívnej individuálnej práce; základy správnej prezentácie výstupov projektu ako práce tímu a základy správnej prezentácie vlastnej tvorivej činnosti.

Po absolvovaní predmetu študent:
- Pozná základné princípy informatiky, právne a etické aspekty tvorby a používania informačných technológií, súvislosť informatiky s inými obormi.
- Vie efektívne pracovať v tíme, využívať nástroje na projektovú spoluprácu, prezentovať výsledky svojej individuálnej práce aj práce tvorivého tímu.
- Vie narábať s informačnými zdrojmi.
- Vie využiť základné analytické techniky na analýzu problémov.
- Ovláda prácu s repozitármi.
- Dokáže správne písať technickú dokumentáciu k projektom.","Náplň prednášok pokrýva nasledujúce okruhy (vybrané prednášky na predmete môžu byť zabezpečené externými prednášajúcimi z praxe): 
- Základy, súvislosti, aplikácie a aktuálne trendy v informatike, ukážky projektov z rôznych oblastí informatiky, skladba štúdia s ohľadom na konkrétne zameranie v informatike, organizácia štúdia na fakulte.
- Analytické techniky a metódy rozboru problémov.
- Práca s informačnými zdrojmi a odbornými databázami, vyhľadávanie informácií v nich, správne techniky citovania zdrojov.
- Časový manažment, efektívna alokácia času, časová organizácia semestra.
- Tímová spolupráca, nástroje a prístupy k riešeniu problémov v tíme, projektové role.
- Úložiská a repozitáre, porovnanie distribuovaných a centralizovaných riešení, prehľad a použitie existujúcich riešení, verzionovanie.
- Štandardizácia v oblasti IKT, čítanie a porozumenie kódu, konvencie písania kódu.
- Dokumentácia k projektu, typy dokumentácie, príprava dokumentácie, nástroje na tvorbu technickej dokumentácie.
- Prezentácie výstupov projektu, techniky prezentovania individuálnych a tímových výstupov, nástroje na tvorbu prezentácie.
- Etika študenta, etický kódex, licencie, autorské práva, disciplinárny poriadok.

Cvičenia sú zamerané na praktické overenie a implementáciu znalostí získaných na jednotlivých prednáškach. Študenti na cvičeniach pracujú tímoch na riešení semestrálneho projektu.
"
6BA0012,"Priebežné hodnotenie:V priebežnom hodnotení je možné získať:
- 100 bodov za aktívne riešenie úloh na cvičeniach


Záverečné hodnotenie:Výsledné hodnotenie predmetu:
93 – 100 bodov ....  A
85 – 92 bodov   ....  B
77 – 84 bodov   ....  C
69 – 76 bodov   ....  D
61 – 68 bodov   ....  E
menej než 61 bodov ... Fx
Formy a metódy hodnoteniaVáhaOblasť vedomostí, zručností, kompetentnostíAktívna práca na cvičeniach100 %
Pre prihlásenie na skúšku musí študent dosiahnuť - bodov. ","Absolvovaním predmetu si študent doplní a utvrdí vedomosti z matematiky tak, aby bol schopný úspešne zvládnuť matematické predmety v 1. semestri bakalárskeho štúdia.","Cvičenia:
Rozdelenie na týždne podľa uváženia vyučujúceho, prípadne dohody s prednášajúcimi matematických predmetov, resp. študentami.
Témy: 
- Symbolika používaná v matematike.
- Lineárne funkcie, lineárne rovnice a nerovnice.
- Sústavy lineárnych rovníc a nerovníc.
- Kvadratické funkcie, kvadratické rovnice a nerovnice.
- Rovnice a nerovnice s absolútnou hodnotou.
- Postupnosti. Aritmetická a geometrická postupnosť.
- Reálne funkcie reálnej premennej - základné vlastnosti.
- Príklady elementárnych funkcií.
- Základy analytickej geometrie.
- Komplexné čísla - základné vlastnosti a operácie.
- Deliteľnosť. Prvočísla a zložené čísla. Počítanie so zvyškami.
"
6BI0032,"Priebežné hodnotenie:Priebežne je hodnotená práca na cvičeniach, ktorá je posudzovaná podľa počtu bodov získaných za aktívnu účasť a za vypracovanie úloh pre daný týždeň. Záverečné hodnotenie:Podmienkou pre absolvovanie predmetu a pridelenie kreditov je úspešné absolvovanie praktickej skúšky z predmetu, ktorá je zameraná na vytvorenie resp. doplnenie kódu tak, aby spĺňal požadovanú funkčnosť.

Záverečné hodnotenie sa vykonáva na základe súčtu bodov, získaných za priebežné hodnotenie a za skúšku: 
A: aspoň 93 % bodov 
B: < 85, 93) % bodov 
C: < 77, 85) % bodov 
D: < 69, 77) % bodov 
E: < 61, 69) % bodov 
Fx: menej ako 61 bodov 
Formy a metódy hodnoteniaVáhaOblasť vedomostí, zručností, kompetentnostíPriebežné hodnotenie 50 %Odborné vedomosti, implementácia algoritmovZáverečné hodnotenie50 %Odborné vedomosti, analýza, syntéza
Pre prihlásenie na skúšku musí študent dosiahnuť - bodov. ","Predmet je zameraný na praktické overenie a prehĺbenie znalostí z programovania s dôrazom na algoritmizáciu a objektový prístup.

Po absolvovaní predmetu študent:
- Charakterizuje základy objektového programovania.
- Dokáže zapísať algoritmus s využitím riadiacich prvkov kódu a s ohľadom na konvencie, čistotu a zrozumiteľnosť kódu.
- Vie správne rozdeliť algoritmus medzi spolupracujúce objekty.
- Dokáže využiť základné nástroje vývojového prostredia na ladenie a testovanie kódu.
","Študenti na cvičeniach pracujú na riešení sady pripravených úloh, ktoré pokrývajú problematiku z nasledujúcich oblastí:
- Základné prvky objektovo orientovaného programovania (objekt, trieda, inštancia, rozhranie, správa, životný cyklus objektov, stav objektu, zapúzdrenie a ukrývanie informácií).
- Definícia tried (atribút, konštruktor, metóda, parametre metód, príkaz return, prístupové modifikátory, atribúty a metódy triedy, nemenné atribúty, preťažovanie metód a konštruktorov).
- Premenné a údajové typy (primitívne a objektové typy, typová kompatibilita, typové konverzie, pretypovanie, definícia premenných, identifikátor, referenčné premenné, literál null, literál this, vymenovaný typ, aritmetické, logické, relačné a objektové výrazy, priraďovací príkaz).
- Vzťahy medzi objektami (asociácia, kompozícia, identita objektov).
- Vetvenia (neúplné, úplné, viacnásobné).
- Cykly (s podmienkou na začiatku, s podmienkou na konci, s pevným počtom opakovaní).
- Práca s kontajnermi pole, viacrozmerné pole a zoznam (definícia a inicializácia; základné selektory, modifikátory a prehliadky kontajnerov; využitie obaľovacích tried).
- Práca s reťazcami (spájanie, porovnávanie, formátovanie, reťazcový literál).
- Práca so štandardným vstupom a výstupom.
- Práca s textovým súborom.
- Práca s dokumentáciou, tvorba dokumentačných komentárov.
- Ladenie a testovanie algoritmov."
6BT0001,"Priebežné hodnotenie:- aktívna účasť na cvičeniach TV
- úroveň zvládnutia základných pohybových zručností a taktiky hry v danom športeZáverečné hodnotenie:klasifikácia
    Formy a metódy hodnoteniaVáhaOblasť vedomostí, zručností, kompetentnostíaktívna účasť na cvičeniach TV30úroveň zvládnutia základných pohybových zručností a taktiky hry v danom športe70
Pre prihlásenie na skúšku musí študent dosiahnuť - bodov. ","- cielené vedenie študentov UNIZA k zdravému spôsobu života a trávenia voľného času prostredníctvom
vybraných telovýchovných a športových aktivít

- zdokonaľovanie technických zručností a taktiky hry vo vybranom športovom odvetví

- zvyšovanie všeobecnej telesnej zdatnosti a pohybovej výkonnosti

- kompenzácia duševného zaťaženia súvisiaceho s vysokoškolským štúdiom a vytváranie podmienok pre všestranný psychofyzický rozvoj osobnosti

- kompenzácia duševného zaťaženia súvisiaceho s vysokoškolským štúdiom a vytváranie podmienok pre všestranný psychofyzický rozvoj osobnosti
","- základná (všeobecná) pohybová príprava
- špeciálna pohybová príprava
- základy taktiky v jednotlivých športoch
- športové súťaže - príprava študentov na reprezentáciu UNIZA vo vybraných športoch na národnej a medzinárodnej úrovni 
"
6BA0005,"Priebežné hodnotenie:Práca v semestri: 72%   
každý týždeň semestra sa dá získať 6 bodov, teda 12 krát 6 bodov za riešenie úloh podľa otázok k prednáške, úloh z cvičení a za riešenie problému na počítači.                 

Záverečné hodnotenie:Skúška:  28%
Súčasťou skúšky je test z teórie, príklady a  riešenie problému na počítači. 
Na skúške je možné získať 28 bodov, z ktorých treba aspoň 16 na uznanie skúšky. 
Nakoniec sa sčítajú body získané cez semester a počas skúšky.
Hodnotenie podľa získaných bodov:
A Výborne  93 – 100 
B Veľmi dobre 85 – 92 
C Dobre  77 – 84 
D Uspokojivo 69 – 76 
E Dostatočne 61 – 68 
FX Nedostatočne  menej ako 61 

Formy a metódy hodnoteniaVáhaOblasť vedomostí, zručností, kompetentnostíTesty z teoretických vedomostí na cvičeniach24 %teória počas semestraTesty z riešenia úloh na cvičeniach24 %riešenie problémov počas semestraTesty z laboratórnych prác na cvičeniach24 %prepojenie matematiky a informatikySkúška, teoretická časť20 %test z teórie na skúškeSkúška úlohy a laboratórne práce8 %riešenie úloh laboratórne práce na skúške
Pre prihlásenie na skúšku musí študent dosiahnuť 42 bodov. ","Študent po absolvovaní predmetu:
-má základnú predstavu o riešení problémov z pravdepodobnosti,
-pozná silu pravdepodobnosti ako nástroja pre odhad a predpovedanie výsledkov náhodného pokusu,
-pozná základné diskrétne rozdelenia pravdepodobnosti a vie simulovať na počítači príslušné náhodné premenné, 
-dokáže sa orientovať na internete a vyhľadať si vhodné rozdelenie pravdepodobnosti podľa požadovaných vlastností,
-pozná jednoduché odhady pravdepodobnosti na základe znalosti ich charakteristík, 
-pozná základné pojmy z teórie náhodných procesov a vie ich využiť na riešenie úloh,
-dokáže vyhľadať vhodné diskrétne rozdelenie pravdepodobnosti pre simuláciu spojitej náhodnej premennej. ","1. Kombinatorika.
2. Vytvárajúce funkcie, operácie s nimi, vlastnosti. 
3. Jednoduché kombinatorické výpočty pomocou vytvárajúcich funkcií.
4. Diskrétna pravdepodobnosť. 
5. Výpočty pravdepodobností udalostí pomocou kombinatoriky. Nezávislosť, podmienená pravdepodobnosť.
6. Veta o úplnej pravdepodobnosti, Bayesov vzorec, spoľahlivostné systémy.
7. Definícia náhodnej premennej, pravdepodobnostná funkcia PDF. Nezávislosť náhodných premenných. Distribučná funkcia CDF. Číselné charakteristiky náhodnej premennej: Modus, Medián, stredná hodnota. Vlastnosti strednej hodnoty a pravidlá počítania s ňou. Markovova nerovnosť.
8. Základné diskrétne náhodné premenné a ich pravdepodobnostné funkcie. Rovnomerné rozdelenie pravdepodobnosti, Alternatívne rozdelenie pravdepodobnosti, Binomické rozdelenie pravdepodobnosti.
9. Geometrické rozdelenie pravdepodobnosti, Poissonove rozdelenie pravdepodobnosti. Simulácie jednotlivých rozdelení.
10. Chi kvadrát test na tvar rozdelenia.
11. Disperzia náhodnej premennej, pravidlá počítania s disperziou. Čebyševova nerovnosť.
12. Markovove reťazce a ich využitie pri riešení úloh. Matica pravdepodobností prechodu. Pravdepodobnosti stavov systému. Invariantné rozdelenie pravdepodobností stavov náhodného reťazca.




"
6BA0002,"Priebežné hodnotenie:40% = 40 bodov
Podmienkou pre úspešné absolvovanie cvičení k predmetu je systematická práca na cvičeniach posudzovaná splnením nasledujúcich kritérií:
* aktívna účasť na cvičeniach overovaná testami (20 b),
* počítačové implementácie vybraných algoritmov (20 b).

Pre prihlásenie na skúšku musí študent dosiahnuť minimálne 20 bodov.
Záverečné hodnotenie:60% = 60 bodov
Skúška je zameraná na pochopenie pojmov a algoritmov.

Výsledné hodnotenie predmetu:
100 - 92 A
 91 - 84 B
 83 - 76 C
 75 - 68 D
 67 - 61 E
Formy a metódy hodnoteniaVáhaOblasť vedomostí, zručností, kompetentnostíAktívna práca na cvičeniach40%Odborné vedomosti, implementácia a návrh algoritmovÚstna skúška60%Odborné vedomosti, analýza, syntéza
Pre prihlásenie na skúšku musí študent dosiahnuť 20 bodov. ","Po absolvovaní predmetu študent:
* pozná základné štruktúry teórie grafov,
* pozná základné grafové algoritmy,
* naprogramuje základné grafové algoritmy,
* aplikuje získané poznatky pri riešení praktických úloh.
","Prednášky: 
* Základné pojmy teórie grafov. Základy kombinatoriky. Reprezentácia grafov. 
* Cesty v grafoch, súvislosť a  prehľadávanie grafov. 

* Najkratšia cesta v grafe a digrafe.  Algoritmy pre hľadanie najkratšej cesty v grafe a digrafe. 
* Stromy a kostra grafu.  
* Acyklické digrafy a úlohy časového plánovania.  
* Toky v sieťach: maximálny tok v sieti, najlacnejší maximálny tok a ďalšie tokové úlohy.
* Eulerovské ťahy a ich využitie.  
* Úloha obchodného cestujúceho: Heuristiky pre úlohu obchodného cestujúceho. 
* Algoritmy, výpočtová zložitosť a NP-ťažké úlohy
* Lokačné úlohy. Vážený p-medián a p-centrum.  
* Farbenie grafov. Rovinné grafy.

Laboratórne cvičenia:
Tézy laboratórnych cvičení sú zhodné s obsahovou náplňou prednášok. Obsah cvičení je zameraný na riešenie praktických príkladov s využitím výpočtovej techniky.
"
