name,code,abbreviation
základy ekonómie,6BM0027,ZE
algebra,6BA0001,Alg
matematika pre informatikov,6BA0009,MpInf
informatika 1,6BI0011,INF1
úvod do štúdia,6BH0003,ÚŠ
praktické cvičenia z matematiky 1,6BA0012,PCzM1
praktikum z programovania 1,6BI0032,PrzPr1
telesná výchova 1,6BT0001,TV1
diskrétna pravdepodobnosť,6BA0005,DPrav
algoritmická teória grafov,6BA0002,ATG
informatika 2,6BI0012,INF2
ekonomické a právne aspekty podnikania,6BL0001,EaPAP
princípy IKS,6BI0034,PIKS
praktické cvičenia z matematiky 2,6BA0013,PCzM2
praktikum z programovania 2,6BI0033,PrzPr2
linux - základy,6BI0018,L-z
telesná výchova 2,6BT0002,TV2
telovýchovné sústredenie 1,6BT0007,TVS1
úvod do operačných systémov,6BI0046,UdOS
úvod do štúdia,6BH0003,ÚŠ
algebra,6BA0001,Alg
matematická analýza 1,6BA0006,MatA1
informatika 1,6BI0011,INF1
3D tlač,6BI0001,3DT
praktické cvičenia z matematiky 1,6BA0012,PCzM1
praktikum z programovania 1,6BI0032,PrzPr1
telesná výchova 1,6BT0001,TV1
vývoj vstavaných systémov,6BI0051,VVS
základy fyziky,6BF0001,ZFyz
matematická analýza 2,6BA0007,MatA2
informatika 2,6BI0012,INF2
metódy spracovania dát,6BA0015,MSD
princípy IKS,6BI0034,PIKS
praktické cvičenia z matematiky 2,6BA0013,PCzM2
praktikum z programovania 2,6BI0033,PrzPr2
linux - základy,6BI0018,L-z
telesná výchova 2,6BT0002,TV2
telovýchovné sústredenie 1,6BT0007,TVS1
základy ekonómie,6BM0027,ZE
algebra,6BA0001,Alg
matematika pre informatikov,6BA0009,MpInf
informatika 1,6BI0011,INF1
úvod do štúdia,6BH0003,ÚŠ
praktické cvičenia z matematiky 1,6BA0012,PCzM1
praktikum z programovania 1,6BI0032,PrzPr1
telesná výchova 1,6BT0001,TV1
diskrétna pravdepodobnosť,6BA0005,DPrav
algoritmická teória grafov,6BA0002,ATG
informatika 2,6BI0012,INF2
ekonomické a právne aspekty podnikania,6BL0001,EaPAP
princípy IKS,6BI0034,PIKS
praktické cvičenia z matematiky 2,6BA0013,PCzM2
praktikum z programovania 2,6BI0033,PrzPr2
linux - základy,6BI0018,L-z
telesná výchova 2,6BT0002,TV2
telovýchovné sústredenie 1,6BT0007,TVS1
úvod do operačných systémov,6BI0046,UdOS
úvod do štúdia,6BH0003,ÚŠ
algebra,6BA0001,Alg
matematika pre informatikov,6BA0009,MpInf
informatika 1,6BI0011,INF1
praktické cvičenia z matematiky 1,6BA0012,PCzM1
praktikum z programovania 1,6BI0032,PrzPr1
telesná výchova 1,6BT0001,TV1
diskrétna pravdepodobnosť,6BA0005,DPrav
informatika 2,6BI0012,INF2
princípy IKS,6BI0034,PIKS
úvod do operačných systémov,6BI0046,UdOS
praktické cvičenia z matematiky 2,6BA0013,PCzM2
praktikum z programovania 2,6BI0033,PrzPr2
linux - základy,6BI0018,L-z
telesná výchova 2,6BT0002,TV2
telovýchovné sústredenie 1,6BT0007,TVS1
finančné účtovníctvo,6UM0001,FÚ
podnikové financie,6UM0007,PF
matematická analýza 1,6BA0006,MatA1
manažérska psychológia,6BU0001,ManPsych
marketingová komunikácia,6BM0012,MKom
dane a rozpočet,6UM0004,DaR
digitálny marketing,6BM0002,DM
riadenie IT projektov,6BM0018,RITP
praktické cvičenia z matematiky 3,6BA0014,PCzM3
telesná výchova 3,6BT0003,TV3
telovýchovné sústredenie 2,6BT0008,TVS2
jazyk nemecký 1,6BJ0007,JN1
jazyk anglický 1,6BJ0005,JA1_inf
mikroekonómia,6BM0014,MiE
sociológia,6BH0002,Soc
pravdepodobnosť a štatistika pre manažérov,6BM0006,MnŠ
softvérové modelovanie,6BI0038,SF
makroekonómia,6UM0002,ME
finančno-ekonomické analýzy,6BM0004,FEA
úvod do databázových systémov,6BI0047,UDS
športový manažment,6BM0025,ŠP
softvérová podpora ekonomických predmetov,6BM0024,SPEP
telesná výchova 4,6BT0004,TV4
jazyk nemecký 2,6BJ0008,JN2
jazyk anglický 2,6BJ0006,JA2_inf
využitie máp pri úspešnom podnikaní,6BI0057,VMP
matematická analýza 1,6BA0006,MatA1
logické systémy,6BI0019,LogS
strojovo orientované jazyky,6BI0039,SOJaz
informatika 3,6BI0013,INF3
číslicové počítače,6BI0003,ČísPoč
3D tlač,6BI0001,3DT
počítačové siete 1,6BI0026,PS1
analýza procesov,6UI0005,AP
jazyk anglický 1,6BJ0005,JA1_inf
ekonómia podniku,6BM0003,EP
povolanie podnikateľ 1,6BM0019,PP1
praktické cvičenia z matematiky 3,6BA0014,PCzM3
digitálne meny a blockchain,6BI0007,DMB
telesná výchova 3,6BT0003,TV3
telovýchovné sústredenie 2,6BT0008,TVS2
UNIX - vývojové prostredie,6BI0045,UNIXVP
otvorené geografické dáta 1,6BI0023,OGD1
diskrétna optimalizácia,6BA0004,DO
pravdepodobnosť a štatistika,6UA0002,PaŠ
databázové systémy,6BI0005,DS
algoritmy a údajové štruktúry 1,6UI0004,AaUD1
matematická analýza 2,6BA0007,MatA2
softvérové modelovanie,6BI0038,SF
vývoj aplikácií pre mobilné zariadenia,6BI0048,VAMZ
jazyk C# a .NET,6BI0016,JCN
počítačové siete 2,6BI0027,PS2
jazyk anglický 2,6BJ0006,JA2_inf
tabuľkové procesory,6UI0002,TP
numerické metódy,6BA0011,NM
makroekonómia,6UM0002,ME
povolanie podnikateľ 2,6BM0020,PP2
techniky programovania 1,6BI0041,TechP1
metaprogramovanie,6BI0021,MT
telesná výchova 4,6BT0004,TV4
sociológia,6BH0002,Soc
otvorené geografické dáta 2,6BI0024,OGD2
elektronické spracovanie a prezentácia dokumentov,6UI0006,ESPD
elektronika,6BE0002,E
strojovo orientované jazyky,6BI0039,SOJaz
programovacie jazyky pre vstavané systémy,6UI0009,PZVS
mikropočítače a ich aplikácie,6BI0022,MPA
logické systémy,6BI0019,LogS
základy ekonómie,6BM0027,ZE
matematická analýza 3,6BA0008,MatA3
informatika 3,6BI0013,INF3
jazyk anglický 1,6BJ0005,JA1_inf
povolanie podnikateľ 1,6BM0019,PP1
praktické cvičenia z matematiky 3,6BA0014,PCzM3
telesná výchova 3,6BT0003,TV3
telovýchovné sústredenie 2,6BT0008,TVS2
počítačové siete 1,6BI0026,PS1
otvorené geografické dáta 1,6BI0023,OGD1
pravdepodobnosť a štatistika,6UA0002,PaŠ
meranie,6BI0020,Mer
elektronické systémy,6BI0008,Elnys
teória automatického riadenia 1,6BI0043,TAR1
ekonomické a právne aspekty podnikania,6BL0001,EaPAP
prvky automatických systémov,6BI0036,PAS
databázové systémy,6BI0005,DS
jazyk anglický 2,6BJ0006,JA2_inf
numerické metódy,6BA0011,NM
povolanie podnikateľ 2,6BM0020,PP2
telesná výchova 4,6BT0004,TV4
sociológia,6BH0002,Soc
počítačové siete 2,6BI0027,PS2
otvorené geografické dáta 2,6BI0024,OGD2
elektronické spracovanie a prezentácia dokumentov,6UI0006,ESPD
manažment 1,6UM0008,Mž1
matematická analýza 1,6BA0006,MatA1
informatika 3,6BI0013,INF3
modelovanie a optimalizácia,6BA0010,ModaOp
finančné účtovníctvo,6UM0001,FÚ
podnikové financie,6UM0007,PF
logické systémy,6BI0019,LogS
strojovo orientované jazyky,6BI0039,SOJaz
manažérske prezentačné zručnosti,6BM0007,MPZ
analýza procesov,6UI0005,AP
číslicové počítače,6BI0003,ČísPoč
ekonómia v praxi,6BM0029,EvP
jazyk anglický 1,6BJ0005,JA1_inf
ekonómia podniku,6BM0003,EP
povolanie podnikateľ 1,6BM0019,PP1
praktické cvičenia z matematiky 3,6BA0014,PCzM3
3D tlač,6BI0001,3DT
digitálne meny a blockchain,6BI0007,DMB
telesná výchova 3,6BT0003,TV3
telovýchovné sústredenie 2,6BT0008,TVS2
UNIX - vývojové prostredie,6BI0045,UNIXVP
otvorené geografické dáta 1,6BI0023,OGD1
dane a rozpočet,6UM0004,DaR
pravdepodobnosť a štatistika,6UA0002,PaŠ
databázové systémy,6BI0005,DS
softvérové modelovanie,6BI0038,SF
diskrétna optimalizácia,6BA0004,DO
mikroekonómia,6BM0014,MiE
podniková ekonomika,6BM0017,POE
marketing,6BM0011,Mtg
matematická analýza 2,6BA0007,MatA2
vývoj aplikácií pre mobilné zariadenia,6BI0048,VAMZ
algoritmy a údajové štruktúry 1,6UI0004,AaUD1
tabuľkové procesory,6UI0002,TP
jazyk anglický 2,6BJ0006,JA2_inf
numerické metódy,6BA0011,NM
makroekonómia,6UM0002,ME
povolanie podnikateľ 2,6BM0020,PP2
techniky programovania 1,6BI0041,TechP1
metaprogramovanie,6BI0021,MT
jazyk C# a .NET,6BI0016,JCN
telesná výchova 4,6BT0004,TV4
sociológia,6BH0002,Soc
otvorené geografické dáta 2,6BI0024,OGD2
elektronické spracovanie a prezentácia dokumentov,6UI0006,ESPD
základy elektroniky,6BE0004,ZE
informatika 3,6BI0013,INF3
python v sieťových aplikáciách,6BI0037,PSA
počítačové siete 1,6BI0026,PS1
3D tlač,6BI0001,3DT
povolanie podnikateľ 1,6BM0019,PP1
praktické cvičenia z matematiky 3,6BA0014,PCzM3
digitálne meny a blockchain,6BI0007,DMB
telesná výchova 3,6BT0003,TV3
telovýchovné sústredenie 2,6BT0008,TVS2
UNIX - vývojové prostredie,6BI0045,UNIXVP
analýza procesov,6UI0005,AP
jazyk anglický 1,6BJ0005,JA1
jazyk nemecký 1,6BJ0007,JN1
číslicová elektronika,6BE0001,ČE
počítačové siete 2,6BI0027,PS2
základy bezdrôtových sietí,6BI0053,ZBS
algoritmy a údajové štruktúry 1,6UI0004,AaUD1
algoritmická teória grafov,6BA0002,ATG
databázové systémy,6BI0005,DS
vývoj vstavaných systémov,6BI0051,VVS
povolanie podnikateľ 2,6BM0020,PP2
techniky programovania 1,6BI0041,TechP1
metaprogramovanie,6BI0021,MT
jazyk C# a .NET,6BI0016,JCN
telesná výchova 4,6BT0004,TV4
sociológia,6BH0002,Soc
jazyk anglický 2,6BJ0006,JA2
jazyk nemecký 2,6BJ0008,JN2
integrovaný manažérsky systém,6BM0021,IMS
