Stemmed Word,Subject1,Subj1_Occurrences,Subject2,Subj2_Occurrences,Subject3,Subj3_Occurrences
adr,6BI0039,3,6BI0026,2,6BI0034,2
agregáci,6BI0026,2,6BI0013,1,-,0
algebr,6BA0001,3,6BI0005,2,6BI0019,1
algebra,6BA0001,3,6BA0014,1,6BA0011,1
algoritm,6BA0004,5,6BI0041,4,6BA0002,4
alokáci,6UM0007,2,6BH0003,1,-,0
analyzovať,6BA0008,2,6BA0007,1,6BA0006,1
analýh,6UI0002,2,6UM0002,1,6BI0043,1
analýz,6BM0004,15,6UI0010,8,6UI0005,5
analýzu,6UI0002,3,6BA0015,1,6UI0005,1
aplikáci,6BI0050,10,6UI0012,9,6BI0048,8
architektúr,6BI0046,2,6BI0039,2,6BI0003,2
aritme,6BA0001,1,6BA0009,1,6BI0039,1
asociáci,6BI0011,1,6BI0032,1,6BI0013,1
atribú,6BI0032,3,6BI0011,1,6BI0006,1
automatizáci,6BI0027,2,6BI0036,1,6BI0055,1
ba,6BI0012,2,6BI0033,1,6BI0018,1
bezpeč,6BI0026,2,6UI0012,2,6BI0028,2
bezpečn,6BI0052,3,6BI0034,2,6BT0007,1
biznis,6BM0020,3,6UI0010,2,6BM0019,1
bmc,6BM0019,5,-,0,-,0
business,6BM0003,2,6BJ0005,1,6BM0024,1
charakter,6UA0002,4,6UM0008,2,6BI0036,2
cyk,6BI0011,2,6BI0032,2,6BI0003,1
dan,6UM0004,11,6UI0005,1,6BI0026,1
dedič,6BI0012,2,6BI0033,1,6BI0013,1
deriváci,6BA0006,11,6BA0014,3,6BA0007,2
determinantu,6BA0001,3,-,0,-,0
diagn,6BI0028,4,6BI0052,2,6BI0027,1
diferenciálneh,6BA0006,2,6BA0007,1,-,0
diferenciálnych,6BA0007,2,6BA0008,2,6BA0011,1
digitálnych,6BI0007,5,6BI0020,2,-,0
diskrét,6BA0005,4,6BA0013,3,6BA0015,2
diskusi,6BH0002,3,6BI0001,1,6BI0049,1
dml,6BI0005,3,-,0,-,0
dns,6BI0028,3,6BI0037,1,6BI0009,1
dokumen,6UI0006,12,6UM0008,2,-,0
dynam,6BF0001,4,6UA0003,4,6BI0013,2
dát,6BI0005,12,6UI0002,9,6UA0001,7
ekonom,6BM0027,11,6BM0014,5,6UM0002,4
etherne,6BI0034,3,-,0,-,0
extrém,6BA0006,4,6BA0007,1,6BA0011,1
ferr,6BT0007,2,-,0,-,0
finan,6UM0007,11,6BM0004,5,6BM0024,2
financi,6UM0007,6,6UM0004,2,6BM0018,1
funkci,6BA0006,21,6BA0007,8,6BA0008,6
gener,6BI0033,4,6BI0012,2,6BI0016,1
geodá,6BI0024,5,6BI0023,2,-,0
geograf,6BI0023,2,6BI0024,2,6BI0057,1
geoserver,6BI0024,3,6BI0023,1,-,0
graf,6BA0002,11,6UI0006,6,6BI0046,3
graphs,6BJ0005,1,6BJ0006,1,-,0
históri,6BH0002,1,6BI0007,1,6BI0003,1
hospodáreni,6BM0017,3,6BM0004,2,6BL0001,2
hry,6BT0001,1,-,0,-,0
icmpv,6BI0034,3,-,0,-,0
ict,6BJ0006,3,6BJ0005,2,6BJ0002,1
implementovať,6BM0014,1,6BI0026,1,6BI0027,1
implicit,6UI0004,2,6BI0013,1,-,0
informa,6BH0003,8,6BA0013,7,6UI0001,5
informat,6BA0013,4,6BH0003,1,6BA0009,1
informáci,6BI0033,4,6BI0038,3,6BM0028,2
integrá,6BA0006,4,6BA0008,4,6BA0007,3
integrálu,6BA0006,2,6BA0007,1,-,0
interne,6BI0034,2,6BJ0006,2,6UI0012,2
internetu,6UI0007,5,6BI0027,1,6BI0034,1
inštrukci,6BI0039,7,-,0,-,0
ip,6BI0028,5,6BI0034,3,6BI0026,1
ipv,6BI0034,2,6BI0026,1,6BI0037,1
is,6UI0001,9,6BJ0005,1,-,0
it,6BM0018,8,6UI0001,1,6UI0007,1
jav,6BH0002,2,6BI0021,2,6BI0041,2
jazd,6BT0007,2,-,0,-,0
jazy,6BI0037,3,6BJ0003,3,6BI0006,3
kapitálu,6UM0007,4,-,0,-,0
klasifikáci,6BI0040,2,6UI0005,1,6BI0055,1
kniž,6BI0047,2,6BI0037,2,6UI0006,2
komplex,6BA0008,6,6BA0007,5,6BA0001,2
komponen,6BI0040,7,6BA0003,3,6BI0046,2
komunika,6BI0034,3,6BM0012,3,6BI0051,2
komunikáci,6BM0012,6,6UM0005,6,6BI0003,4
kontro,6UM0007,1,6BM0018,1,6BH0002,1
konvergenci,6BA0006,2,6BA0011,2,6BA0007,1
konštruktor,6BI0032,2,6BI0013,2,6BI0011,1
kresleni,6UI0006,4,-,0,-,0
kultúr,6BH0002,2,6UM0005,2,-,0
kval,6BM0018,4,6BM0021,2,6BI0028,2
kódu,6BI0032,3,6BH0003,2,6BI0006,2
ladeni,6BI0032,2,6BI0006,2,6BI0011,1
lan,6BI0026,6,6BI0034,2,-,0
latex,6UI0006,4,-,0,-,0
latexu,6UI0006,6,-,0,-,0
libreoff,6UI0006,4,-,0,-,0
lim,6BA0006,7,6BA0014,3,-,0
