Word,Subject1,Subj1_Occurrences,Subject2,Subj2_Occurrences,Subject3,Subj3_Occurrences
dát,6UI0002,9,6BI0005,6,6BA0003,6
analýza,6BM0004,10,6UI0010,4,6BA0003,4
sietí,6BI0053,10,6BI0034,6,6BI0026,6
pravdepodobnosti,6BA0005,13,6BA0015,5,6UA0002,4
programovania,6BM0028,4,6BI0032,3,6BA0004,3
systémy,6BA0001,2,6BI0051,2,6BI0019,2
modelovanie,6BE0002,8,6BI0038,6,6UA0003,4
operačného,6BI0046,10,6BI0009,3,6BI0035,3
športoch,6BT0001,2,-,0,-,0
algoritmy,6BA0002,4,6BA0004,3,6BI0042,2
aplikácií,6BI0050,7,6UI0012,6,6BI0048,5
sql,6BI0005,9,6BI0047,2,6BI0006,1
grafov,6BA0002,5,6UI0006,4,6UI0002,3
komunikácie,6BM0012,4,6BI0003,3,6BI0034,2
rovníc,6BA0008,4,6BA0001,3,6BA0011,2
analyzovať,6BA0008,2,6BA0007,1,6BF0001,1
kódu,6BI0032,3,6BH0003,2,6BI0006,2
podnikových,6UM0007,4,6BI0027,3,6BL0001,2
derivácia,6BA0006,5,6BA0014,2,6BA0007,1
lineárnych,6BA0001,4,6BI0043,3,6BA0008,2
sieťach,6BI0034,4,6BI0027,2,6BI0028,2
manažmentu,6UM0008,18,6BM0021,2,6BM0010,2
telovýchovných,6BT0001,1,6BT0007,1,-,0
tabuľky,6UI0006,6,6UI0004,2,6BI0034,1
linux,6BI0018,5,6BI0046,2,6BI0028,1
testovanie,6BI0032,2,6BI0011,1,6BI0034,1
informačné,6UI0001,3,6BA0013,2,6BI0005,2
rozhrania,6BI0046,2,6BI0051,2,6BI0033,2
komunikácia,6UM0005,4,6BI0035,3,6BI0051,2
polia,6BI0013,2,6BA0001,1,6BI0039,1
lineárna,6BA0001,2,6BA0015,2,6UI0005,2
rovnice,6BA0012,3,6BA0007,3,6BA0011,2
návrh,6BE0002,5,6BI0019,3,6UI0010,2
lineárne,6BI0008,3,6BA0012,2,6BA0007,1
algoritmov,6BI0041,2,6BA0009,1,6BA0006,1
siete,6BI0053,6,6BI0034,3,6BI0052,2
navrhnúť,6BM0010,2,6BI0018,1,6BI0026,1
systéme,6BI0046,4,6BM0014,2,6UI0006,2
výkonnosti,6BM0004,2,6BM0027,1,6BT0001,1
pravdepodobnosť,6BA0013,5,6BA0005,2,6BA0015,1
funkcia,6BA0013,2,6BA0005,2,6BA0006,1
podnikania,6BM0003,3,6BM0019,3,6BM0017,2
sieťové,6BI0034,2,6BA0013,2,6BI0027,2
manažment,6UM0008,4,6BH0003,1,6BJ0005,1
lan,6BI0026,6,6BI0034,2,-,0
matematická,6BA0014,3,6BA0013,2,6BA0007,1
ict,6BJ0006,3,6BJ0005,2,6BJ0002,1
informatika,6BA0013,4,6BM0027,1,6BJ0005,1
analýzu,6UI0002,3,6BH0003,1,6UI0005,1
náhodnej,6BA0005,4,6UA0002,3,6BA0013,1
internet,6BI0034,2,6BJ0006,2,6UI0007,2
zariadenia,6BI0034,4,6BI0048,2,6BI0052,1
protokoly,6BI0034,3,6BI0026,3,6BI0028,1
programovanie,6BI0051,2,6BI0048,2,6UI0010,2
matice,6BA0001,5,6BA0013,1,-,0
matematických,6UI0006,2,6BA0009,1,6BA0006,1
matematické,6BA0009,2,6UI0006,2,6BA0013,1
premenné,6BI0032,2,6BA0005,2,6BI0011,1
objekty,6BI0013,2,6BI0011,1,6BI0032,1
športových,6BM0025,2,6BT0001,1,-,0
výpočtovej,6BA0015,2,6UI0004,2,6BI0013,1
protokolov,6BI0027,3,6BI0034,2,6BI0026,2
os,6BI0018,2,6BI0027,2,6BI0048,1
komplexné,6BA0001,2,6BI0011,1,6BA0012,1
športové,6BT0001,1,6BM0025,1,-,0
ip,6BI0028,5,6BI0034,3,6BI0027,1
adries,6BI0039,3,6BI0034,2,6BI0026,2
bezpečnosti,6BI0052,3,6BI0034,2,6BI0007,1
derivácie,6BA0006,4,6BA0013,1,6BA0007,1
